epoch,train_loss,train_acc,val_top1,val_top5,L_ae,L_diff,L_diffkd,T_curr,lr
1,8.394831422659067,0.0059595352564102,0.0,0.0,0.7708004963703644,1.2986026170926217,0.9991573168681218,800,0.0020198520451804
2,8.144077883011256,0.0103365384615384,0.0,0.0,0.7312371431252895,1.1366934140523277,0.9916141134042006,795,0.0032610461244882
3,7.902253681574113,0.0168669871794871,0.0,0.0,0.6627828118128655,1.0629405241746168,0.9755438728210254,791,0.0052692991261876
4,7.600388045188708,0.0284254807692307,0.0,0.0,0.5482818802197774,1.0173233243135305,0.9491256267596514,787,0.00795678093257
5,7.335428120539738,0.0388922275641025,0.1093,0.3012,0.4840181425595894,0.9847066335189036,0.929987777196444,783,0.0112059556339691
6,7.152345214745937,0.0518830128205128,0.0,0.0,0.4713868653162932,0.954164427671677,0.9137352445186712,779,0.0148747219133505
7,7.001061121622722,0.057832532051282,0.0,0.0,0.4660554500726553,0.921072237002544,0.8970440873732933,775,0.0188026277888718
8,6.858873342856382,0.0606770833333333,0.0,0.0,0.4624605238437652,0.8840276170999576,0.8784215221038232,771,0.0228178879152086
9,6.742851450504401,0.0693910256410256,0.0,0.0,0.4560078896009005,0.8394424869463994,0.8597278228172889,767,0.0267448965448636
10,6.599019845326741,0.0708433493589743,0.2083,0.4606,0.4509819755187401,0.7720275857509711,0.828685809404422,763,0.0304119075731908
11,6.450965847113194,0.0834134615384615,0.0,0.0,0.4437106407605685,0.6613154609998068,0.7803236527320666,759,0.0336585457835294
12,6.320513121287028,0.0769230769230769,0.0,0.0,0.4378394866601015,0.5627737946999378,0.7922983267368414,755,0.0363428207912367
13,6.252494973402757,0.0935496794871794,0.0,0.0,0.4298362672328949,0.4970487857476259,0.8106916516255109,751,0.0383473369346653
14,6.186728272071251,0.0893129006410256,0.0,0.0,0.4216465930143992,0.4532511669855851,0.8238421440124511,747,0.0395844275260638
15,6.107508160517766,0.1067007211538461,0.2615,0.5276,0.4140076119166154,0.4225792574576842,0.8328368327556512,743,0.0399999998575831
16,6.053630581880227,0.1155949519230769,0.0,0.0,0.4055336886491531,0.4020269108124268,0.8355723206813519,739,0.0399945291653295
17,5.975945692795974,0.1122395833333333,0.0,0.0,0.3978018779021043,0.3912170202304155,0.8351734136923765,735,0.0399782311261293
18,5.93872269605979,0.1256410256410256,0.0,0.0,0.3892665377030005,0.3838970222534277,0.8461540277187641,731,0.0399511145656581
19,5.958833366785294,0.1189302884615384,0.0,0.0,0.3802709796489813,0.3773440296833332,0.8527171602615944,727,0.0399131941680119
20,5.887361668317746,0.1213942307692307,0.2971,0.5691,0.3744241422567612,0.3733973377790207,0.8529501725465823,723,0.039864490467755
21,5.856955203031882,0.112139423076923,0.0,0.0,0.3667753514571067,0.3719564182636065,0.8588543577071948,719,0.0398050298388002
22,5.759459703396528,0.1451522435897436,0.0,0.0,0.3621881070809487,0.3753582098545172,0.8602795658967434,715,0.039734844480127
